"%s on %s","%s on %s"
"#%s on %s - %s","#%s on %s - %s"
"%s cannot be returned.","%s cannot be returned."
"Add another attachment","Add another attachment"
"Add attachments","Add attachments"
"Add comment","Add comment"
"Added by","Added by"
"Allow RMA","Allow RMA"
"Allow for orders","Allow for orders"
"An error occurs, please try again later.","An error occurs, please try again later."
"An error occurs, please try again without attachments. You will be able to add them later.","An error occurs, please try again without attachments. You will be able to add them later."
"Attachment","Attachment"
"Attachments","Attachments"
"Available motivations for return requests","Available motivations for return requests"
"Cannot add attachments because current RMA is not defined.","Cannot add attachments because current RMA is not defined."
"Check out these informations before saving because you can not change this request later.","Check out these informations before saving because you can not change this request later."
"Comment","Comment"
"Comments","Comments"
"Concerned products","Concerned products"
"Date","Date"
"Download","Download"
"File","File"
"File #%s","File #%s"
"For order:","For order:"
"New RMA's status","New RMA's status"
"Informations","Informations"
"Max: %s","Max: %s"
"Motivations","Motivations"
"New request for return","New request for return"
"No","No"
"Object","Object"
"One motivation per line","One motivation per line"
"Order","Order"
"Order #","Order #"
"Please, explain your motivations for your request.","Please, explain your motivations for your request."
"Please, select an object for your request.","Please, select an object for your request."
"Please, select products to return.","Please, select products to return."
"Product Name","Product Name"
"Request date: %s","Request date: %s"
"Return","Return"
"Return #","Return #"
"Return #%s - %s","Return #%s - %s"
"Return Merchandise Agreement","Return Merchandise Agreement"
"Return Merchandise Agreements","Return Merchandise Agreements"
"Return products","Return products"
"Returned qty","Returned qty"
"Remove","Remove"
"Settings","Settings"
"SKU","SKU"
"Status","Status"
"This order cannot be returned.","This order cannot be returned."
"Yes","Yes"
"You","You"
"You cannot make requests for return.","You cannot make requests for return."
"You have made no requests for return.","You have made no requests for return."
"Your request has been submited. We'll answer as soon as possible.","Your request has been submited. We'll answer as soon as possible."
"View Order","View Order"
"View request","View request"
"Wrong quantity for %s.","Wrong quantity for %s."